519.99	894.25
439.14	867.31
361.30	792.45
325.37	720.59
322.37	582.86
355.31	454.11
427.17	397.23
519.99	421.18
615.80	439.14
699.63	511.00
711.61	624.78
687.66	768.50
612.80	855.33
307.40	687.66
301.41	633.76
277.46	522.98
292.43	406.21
352.31	316.38
442.14	241.53
567.89	241.53
666.70	310.39
720.59	376.27
762.51	514.00
750.54	624.78
723.59	684.66
433.15	555.92
600.83	549.93
355.31	531.96
409.20	508.01
472.08	514.00
561.90	514.00
627.77	499.03
672.69	516.99
519.99	546.93
463.10	660.71
522.98	681.67
588.85	657.72
427.17	729.58
522.98	714.61
615.80	720.59
573.88	762.51
511.00	783.47
454.11	768.50
