511.00	897.25
406.21	873.30
292.43	801.44
253.51	663.70
271.47	502.02
301.41	367.28
421.18	304.41
606.82	307.40
690.65	370.28
726.58	472.08
741.55	648.73
684.66	813.41
615.80	867.31
217.58	681.67
169.67	582.86
202.61	481.06
199.61	331.35
289.44	175.66
457.11	103.80
624.78	121.76
732.57	217.58
783.47	364.29
780.48	478.07
807.42	564.90
774.49	660.71
409.20	505.01
606.82	505.01
331.35	469.08
397.23	451.12
466.09	451.12
570.89	457.11
630.77	454.11
690.65	466.09
516.99	490.04
445.13	615.80
516.99	636.76
588.85	615.80
397.23	705.62
516.99	684.66
618.79	705.62
448.13	747.54
519.99	774.49
594.84	744.55
